username,review_date,rating,title,review_text,date_of_stay
Ishea Young-Taylor,Today,5.0,Uh Freaking Amazing!!!!,"Hotel is so cute. As soon as u step in to the doors you are greeted and treated like a valued customer. My husband booked this hotel for my birthday trip and as soon as we checked it I was greeted with a few happy birthday days and my name was on our flat screen TV as we entered the room.....lol The rooms are clean, the beds comfy and the view from our room on the 29th floor was stunning. The bar next to the lobby was nice and so was the restaurant. We loved the added security for the elevator. You can't access it without a key card so u don't have to worry about strangers roaming the hallways. Yasmin from the front desk was a god send. She texted us daily to get up dates on our stay and to see if our needs where being met. We was just a 15-20 min walk from time square, 5th Ave and the empire state building. We had a ball and will definitely stay here again.",February 2023
Alice L,Feb 2022,5.0,Perfect for Us,"We recently chose Motto for an overnight in NYC and were so glad we did. Our stay started off with a warm and friendly greeting from the staff at the front desk. Check in was easy and efficient. We found our room to be clean and comfortable- brand new! Quite beautiful. The view from our room as the sun was setting was spectacular! After an evening at the theatre ( highly recommend The Music Man!), the bar was open for a night cap. Breakfast was fresh and delicious served by more friendly staff. Our overall experience was exceptional! We’ll be back",February 2022
uk,Yesterday,4.0,The saviour of our NYC trip,"We originally had booked to stay at a different hotel for our 6 night visit to NYC but unfortunately we were not impressed on our arrival so we checked out after a night and booked the Motto. We had seen this hotel briefly whilst searching for accommodation but was put off by the Hilton brand as we’ve had mixed experiences in the past.First impressions:The location of the hotel is good and the lobby/bar area is lovely. Marissa checked us in to a room on the 28th floor. When we got into the room we found we had been put in an adjoining room which we didn’t feel comfortable in. We called down to reception and Marissa straight away transferred us to a room on the 20th floor with an upgraded ‘landmark view’ which we were really happy with. Room:The rooms have obviously been designed with space in mind. Plenty of room to store our 2 large suitcases and drawers/shelves to put away clothes. The room had a safe, fridge (empty) and big TV opposite the bed which you can log into Netflix on. We like a cool room and the air conditioning was great. The mattress and pillows were both very comfortable and the sound proofing of the room was good. The shower was very hot and the water pressure very strong. Facilities:We didn’t eat in the restaurant or bars so can’t really comment though the downstairs bar in the lobby is lovely. If we were being picky, it would be nice to have an extra couple of elevators as the 4 the hotel had were busy during our stay - although the longest we had to wait was 5 minutes. We don’t really have any negative comments to make. All the staff were lovely and made our stay enjoyable.",February 2023
Jonathan F,Yesterday,5.0,"Pleasant, value hotel smack in the middle of New York City.",Just a really great hotel. Achieved a lot with a fairly small room. Pleasant. Amazing shower (one of the best I’ve had actually). Helpful staff and a well run lobby.Their breakfast muffin is seriously one of the best I’ve had in New York. The other stuff was ok. Kyalin Z. Was especially incredible and helpful.,February 2023
Kristina D,Yesterday,5.0,Very friendly staff,"I stayed at motto for 6 nights!The rooms were small, but I knew this before.the view from the 42nd floor was spectacular. The breakfast was very tasty but expensive!the elevators were slow and you had to wait.I really liked the decoration and the customer service was 10/10…  when I had a little incident with my knee, Ina helped me a lot, and stayed with me until my husband came. I didn't get a chance to thank her.A beautiful woman inside out!We will definitely come back to Motto!",February 2023
scott w,Feb 19,5.0,"Great room, great service, great location",Room was fantastic and the service was outstanding. Everyone from the front desk to housekeeping was fast and efficient. Had one of the best cocktails at the the bar from super friendly bartenders. Great location and would definitely stay here again.,February 2023
Louis M,Feb 19,5.0,Motto NYC Chelsea,"We had an excellent one-night stay at the Motto - NYC Chelsea.  Our room was very nice and had a beautiful view of downtown NYC.  Shout out to Kyalin, Edgar and Yasmin at the front desk for their hospitality.",February 2023
Brady,Feb 19,3.0,Whats in a name?,Its the Hilton name so booked on that assumption. Pros:GymBarStaff Cons:Cost vs valueNo tea coffee in roomsSmall rooms No lounge service Bar very expensive - like eye watering!!Finishing touches on decor. Paint in room had very poor finish. Average rating as cons outweighed pros.,February 2023
Robsen,Feb 17,5.0,Just perfect!,At first the arrival there was amazing. Ina from the front office made us feel like home. Greetings from germany to you! The view from our room was amazing. The housekeeping did a good job and the restaurant also. The food here is so delicious.,February 2023
Kristin N,Feb 16,5.0,"Great Hotel, Wonderful Customer Service!","I've stayed at the Motto hotel several times over the past 6 months for business.  Their rooms are well-apportioned and very clean-  which is saying a lot because I am very picky about cleanliness ;) On my most recent stay, there was a small issue in my room with the plumbing making a lot of noise which kept me up all night.  I asked the front desk the next morning to either have someone look at it or change my room.  The gentleman at the front desk that I spoke to was so friendly (unfortunately I didn't get his name) and offered to have someone look at the room right away.  Additionally the manager, Yasmin,  went well out of her way to make sure that I was comfortable and was taken care of. Her care and customer service was outstanding and as a result, I will  continue to make the Motto my choice for my future travel.  I would highly recommend this hotel for both business travelers and leisure travelers!",February 2023
