threads,submitted,scored,given,since,author
,41,10,5,2021,maryaa
,4,2,5,2021,EggCoop
,16,182,4.88,2020,gulayfather
,8,55,2.91,2020,Kentooth
,4,33,4.85,2021,DailyCollection
,1,,0,2021,C_Gerisch
,1,1,5,2021,venozoic
944,1,20,4.8,2005,kooky love
,7,,0,2021,SPREADWINGS
1,154,3,4.39,2013,clsantos82
,117,107,5,2021,markyartshop
,4,18,2.89,2021,Sareda_arts
,6,15,4.27,2021,Moddictive
,14,611,3.52,2021,Bunglebutt
,8,24,4.25,2021,M3medici
282,1,17,2.96,2007,tobefonseca
,1,2,5,2021,Aram-Rex
,1,1,5,2021,lspeyer
,1,,0,2021,hyerdon13
,1,1,5,2021,Caterpill
,82,24,5,2020,vnteees
,1,,0,2021,Mrrocke
,47,81,4.58,2020,Fluorik
,17,48,4.4,2014,Surrealmist
,35,535,2.37,2011,nicepunk
11,138,506,4.64,2020,Die_at13
,9,15,4.07,2021,Temonk
,5,,0,2021,Vaniadial
,1,7,4.71,2021,TombJumper
,11,11,5,2016,CiulloCorp
,5,33,3.58,2021,Blueskull
,9,16,4,2021,mani1991
,1,,0,2021,Sheryljain
4,151,306,4.25,2019,PammyB
,38,421,4.78,2019,OlgaOsynskaya
,5,11,4.91,2019,miserlu
,23,212,3.41,2021,FreelancerMiel
,7,31,2.03,2021,loonylunaART
,7,80,4.03,2019,dskyvbc
,4,2,5,2021,NoahPearson
,14,1,5,2021,Uday-kala
,1,,0,2021,jmcrowell
,1,1,5,2021,HiBAY
,12,117,4.58,2021,Crowing_Dawn
3,53,5,2.26,2010,MarsCG
,3,1,5,2021,Niranjan12
77,250,5,4.42,2008,ndough
14,310,2,4.04,2018,WeirdPeople
,2,1,5,2020,hungcu89nd
,6,339,1.91,2019,TheCurioTable
,6,6,4.83,2020,Megan-Alice
,3,24,3.71,2021,zecsans
,55,131,4.64,2019,EGIRIADI
,17,159,4.94,2020,andrealeonelli
,2,2,5,2021,quirkhy
,2,5,5,2021,madhu9051
,45,1,3.59,2011,TheFactorie
,4,13,5,2021,Sunconic
1,10,11,5,2021,CrazyCollective
,20,110,3.49,2016,megaduel
,23,25,4.84,2020,Nieco
,3,,0,2021,Last_Ronin
,1,,0,2021,JeffreyMonter
,1,3,3.67,2021,G_Ghanss
,6,6,5,2021,JacobStars
,7,5,5,2021,ariazidan
,15,29,3.83,2020,Silverblue73
,1,,0,2021,KaitlinKarl
,17,8,4.12,2020,K7Css
,8,6,5,2021,Sunny2021
,6,119,4.96,2021,Liodoesthings
3,5,1,3.49,2008,Rusc
,2,2,5,2021,TheSimpleStore
,1,9,3.89,2020,King9335
,1,,0,2021,ANGRYMERL
,22,37,4.7,2021,Dahrkmezalf
,1,1,5,2021,Ceasar209
,3,4,4.5,2021,thebluebanana
,16,,0,2020,Darrenraya
,10,64,3.72,2021,paldipaldi
,291,273,4.92,2019,torrescesar
,1,8,4.75,2021,bellaballestas
,1,,0,2021,NillyOh
,2,18,3.72,2019,ArtnDesignbyJP
,3,4,4,2021,YourWayShirts
,65,146,4.2,2021,vermilione
,3,6,5,2011,mckirbzx
,5,39,4.67,2018,SaigeArtWork
,1,1,5,2021,Dinogal37
,63,2,2.5,2020,AnirbanSarkar
,9,75,4.4,2021,beramsey
,1,1,5,2021,AngryAsh
,1,1,5,2021,Adamraydaniels
,4,9,4.89,2017,MackAttack246
,10,81,3.43,2021,Haltobreni
,1,1,5,2021,RugoseKohn
2,11,9,4,2021,spiderkw
,19,719,3.29,2018,Orglod
,1,46,3.46,2021,artjenesis
,1,1,5,2021,HenrySharpe
91,253,207,2.23,2012,DRO72
,1,11,4.64,2019,Gil Sansón
5,72,131,4.47,2012,Moutchy
,71,4,5,2020,Artthree
51,445,2,3.7,2009,ppmid
,77,97,3.42,2006,ninhol
,20,,0,2021,Gresex
,1,2,5,2021,strangebirdart
,50,48,2.98,2021,VirtualSG
,1,,0,2021,infantasanber
,2,,0,2019,andrijaljutic
39,198,7,2.61,2004,bewarethevipers
,2,,0,2021,primajendi
,28,738,3.8,2013,bournemercury
,2,,0,2021,Domedreamer
,4,550,2.52,2019,oblaka-pics
,38,839,1.73,2021,footsawtees
1,91,4,4.43,2021,Artefact3
,48,4,3.12,2018,doriography
,1,1,5,2021,MyRainbowFlag
,75,173,5,2020,IAKUKi
,17,22,3,2021,febrianddwi
,1,,0,2021,Lyrachee
,10,7,4,2020,Prsagar
414,411,10,2.7,2008,anwarrafiee
,106,133,4.9,2018,createeworld
,6,20,5,2021,neni_art__
,49,2,5,2016,Alundrart
2,21,5,2.15,2010,diegosoldano
,21,184,3.09,2021,Abraz
,17,6,5,2020,de-creartique
,175,840,3.71,2019,justduick
,2,3,5,2021,snikkai
,5,2,5,2021,ProfessorPie212
,1,2,5,2021,redezra
1,20,17,3.06,2021,VintageStudio
,115,49,5,2021,Jinvros
,80,427,3.42,2017,gamerzink357
,7,32,4.09,2021,DeadGalaxyMGP
,13,277,4.94,2021,Hunniebee00
,5,,0,2021,Dhrow910
,1,1,5,2021,Rodolfolopezart
,2,1,5,2018,leonykabathara
256,618,10,3.44,2008,dnice25
1,148,20,4.65,2016,JakeEdwardLange
,3,,0,2021,umashankar1986
363,367,10,4.67,2006,Jemae
,67,122,4.42,2021,JonzShop
,142,87,5,2021,Oneredfox
1,51,180,4.34,2020,foreshadowboxer
,4,3,5,2021,AdilAdi
15,57,2,1.36,2012,artecco
,2,11,3.45,2021,KaterynaAndArt
,61,60,4.92,2021,Hmrai
,47,60,4.83,2020,HOLOM
,1,,0,2021,Mahakmitra
,1,,0,2021,WormyOrchids
,4,85,4.95,2019,Katasstrophiez
,22,,0,2021,BedlamBones
,22,5,4,2021,789Design
,1,1,5,2021,TyrantFloof
,2,,0,2021,JGTMstudio
,14,194,4.66,2021,Audygo
,3,23,3.43,2013,alfonsoochoa
,58,27,3.89,2021,kimprut
,1,6,3,2021,Sebastian2246
13,81,2,1.98,2009,karakenio
,2,15,3.13,2021,DojaDave
