url,title,author,score,total_score
/designs/born-to-fight-3,Born to fight,Gresex,1.75,8
/designs/1our-anniversary,1our anniversary,Gresex,1,9
/designs/til-i-find-home-alternative,'Til I Find Home (Alternative),Abraz,2.48,25
/designs/lady-in-pink-4,lady in pink,Haltobreni,1.75,8
/designs/dead-samurai-skull-in-flames,Dead Samurai Skull In Flames,nicepunk,3.78,37
/designs/looking-into-the-void,looking into the void,Haltobreni,1.25,8
/designs/interested,interested,Haltobreni,1.25,8
/designs/dreamy-look,dreamy look,Haltobreni,1.75,8
/designs/outbones,OUTBONES,leonykabathara,2.52,23
/designs/los-muertos-8,Los muertos,vermilione,2.42,19
/designs/skull-heart-symbiosis,Skull Heart Symbiosis,nicepunk,3.2,30
/designs/old-gothic-bones,Old Gothic Bones,neni_art__,1.7,10
/designs/fruity-6,Fruity,BedlamBones,1.78,9
/designs/minimalist-for-concept-land,Minimalist for Concept Land,markyartshop,1.36,11
/designs/apple-basket,Apple basket,oblaka-pics,1.25,8
/designs/run-free-3,Run Free,DeadGalaxyMGP,3.24,41
/designs/xtreme-apparels-wears-brand-logo-set,Xtreme Apparels & Wears Brand Logo Set,markyartshop,1.1,10
/designs/blue-skull-sticker,Blue Skull Sticker,Blueskull,2.06,18
/designs/terrarium-life,Terrarium life,MarsCG,3.4,40
/designs/view-from-far-city,View from far city,markyartshop,1.67,9
/designs/run-free-2,Run Free,DeadGalaxyMGP,1.86,14
/designs/artworks-to-live,artworks to live,Die_at13,3.09,35
/designs/legend-24,Legend,Niranjan12,1,9
/designs/tom-waits-icon-premium-t-shirt,Tom Waits icon Premium T-Shirt,Caterpill,2.05,20
/designs/im-so-special-2,I'm so special,Jinvros,1.8,10
/designs/on-your-mark-g-3,on your mark G,Jinvros,1.73,11
/designs/on-your-mark-g-2,on your mark G,Jinvros,1.73,11
/designs/on-your-mark-g,on your mark G,Jinvros,1.73,11
/designs/into-the-shrooms,Into the shrooms,mckirbzx,2.11,9
/designs/remain-in-ones-memory-flower,remain in one's memory flower,Jinvros,1.8,10
/designs/queen-of-death-4,Queen of Death,neni_art__,2.79,24
/designs/remain-in-ones-memory,remain in one's memory,Jinvros,1.8,10
/designs/sphinx-and-skull,sphinx and skull,Die_at13,2.89,36
/designs/keep-your-mind-2,Keep your mind,Jinvros,1.92,12
/designs/keep-your-mind,Keep your mind,Jinvros,2,11
/designs/charming-vintage,Charming Vintage,loonylunaART,2.06,17
/designs/the-forest-nymph,The Forest Nymph,mani1991,3,18
/designs/queen-of-death-3,Queen of death,neni_art__,2.53,17
/designs/country-life-3,Country life.,VintageStudio,1.22,9
/designs/good-energy-2,Good Energy,Silverblue73,2.94,16
/designs/cheesy-6,Cheesy,Artthree,1.22,9
/designs/cottage-core-tea,Cottage Core Tea,Silverblue73,2.53,19
/designs/country-life-2,Country life.,VintageStudio,1,7
/designs/scarry-night,scarry night,ndough,1.4,10
/designs/bushcraft-3,Bushcraft,Oneredfox,1.44,9
/designs/old-bones-cocktail-lounge,Old Bones Cocktail Lounge,miserlu,2,13
/designs/cassette-tape-and-countryside,cassette tape and countryside,Die_at13,2.89,37
/designs/cottage-core-jar,Cottage Core Jar,Silverblue73,2.56,16
/designs/cheeky-princess,Cheeky Princess,loonylunaART,1.44,9
/designs/waiting-for-the-end,Waiting For The End,AngryAsh,1.7,10
/designs/come-here-3,Come Here,createeworld,2,11
/designs/three-rex-meteor,Three Rex meteor,kooky love,3.23,35
/designs/fried-egg-ufo-crewneck-design,Fried Egg Ufo Crewneck Design,G_Ghanss,1,7
/designs/french-cottage,French cottage,Sunny2021,1.45,11
/designs/i-graduated-can-i-go-back-to-bed-now,I Graduated Can I Go Back To Bed Now,Prsagar,1,7
/designs/sassy-sue,Sassy Sue,artjenesis,2.65,20
/designs/jeep-life-2,Jeep life,gamerzink357,1.5,8
/designs/jeep-life,Jeep life,gamerzink357,1,7
/designs/white-trippy-viking-helmet-in-smears,White Trippy Viking Helmet In Smears,CrazyCollective,2.55,22
/designs/sue-the-badass-theropod,Sue - The Badass Theropod,Dinogal37,1.64,11
/designs/anatomy-of-a-murderbird,Anatomy of a Murderbird,HenrySharpe,2.69,26
/designs/your-move-4,"""YOUR MOVE""",M3medici,1.85,13
/designs/fmnh-pr-2081-2,FMNH PR 2081,TheFactorie,3.16,25
/designs/chicago-flag-evolution-of-sue-2,Chicago Flag Evolution of SUE,ProfessorPie212,2.84,25
/designs/the-theropod-revolution,The Theropod Revolution,strangebirdart,2.87,23
/designs/chicago-flag-evolution-of-sue,Chicago Flag Evolution of SUE,ProfessorPie212,1.75,8
/designs/sue-loves-ham,SUE Loves Ham,ProfessorPie212,3.08,37
