tweet_id,user_id,screen_name,created_at,favorite_count,retweet_count,text,truncated_tweet,retweet
1.23E+18,2904112697,MMC_Global,3/1/20 20:00,3,1,How will the #coronavirus impact #business and why should businesses invest in #pandemic #resilience? https://t.co/Ols7f3QoS2 by Richard Smith-Bingham and Kavitha Hariharan of @MMC_Global via @BRINKNewsNow. #health covid19 https://t.co/EEgJstkXPQ,How will the #coronavirus impact #business and why should businesses invest in #pandemic #resilience? https://t.co/Ols7f3QoS2 by Richard Smith-Bingham and Kavitha Hariharan of @MMC_Global via @BRINKNewsNow. #health covid19 https://t.co/EEgJstkXPQ,original
1.23E+18,120578352,CatalentPharma,3/1/20 21:50,1,2,"Join us at Gene Therapy for Rare Disorders in Boston March 30 每 April 2. Let's discuss our industry-leading AAV #genetherapy, next-generation #vaccine, &amp; oncolytic virus development &amp; scalable manufacturing capabilities. Schedule a meeting today! https://t.co/lSPQVoAZ4Y","Join us at Gene Therapy for Rare Disorders in Boston March 30 每 April 2. Let's discuss our industry-leading AAV #genetherapy, next-generation #vaccine, &amp; oncolytic virus development &amp; scalable manufacturing capabilities. Schedule a meeting today! https://t.co/lSPQVoAZ4Y",original
1.23E+18,151998296,MoodysInvSvc,3/2/20 9:53,1,1,The #coronavirus outbreak will disrupt automotive supply chains and reduce demand for European auto parts this year. Moody＊s has lowered its revenue forecast for the sector. https://t.co/7oXDdqJsAL https://t.co/X957EV9weN,The #coronavirus outbreak will disrupt automotive supply chains and reduce demand for European auto parts this year. Moody＊s has lowered its revenue forecast for the sector. https://t.co/7oXDdqJsAL https://t.co/X957EV9weN,original
1.23E+18,337847812,FTI_Global,3/2/20 10:00,1,1,Read why John Beck thinks central banks will ※seek to do no harm§ in response to the coronavirus: https://t.co/47s0nBw6r2,Read why John Beck thinks central banks will ※seek to do no harm§ in response to the coronavirus: https://t.co/47s0nBw6r2,original
1.23E+18,2904112697,MMC_Global,3/2/20 11:00,6,1,"To effectively prepare and respond to the threats of pandemics, epidemics and outbreaks, #business organizations should take a two-pronged approach to protect their organization and decrease #risk. @MarshGlobal shares how: https://t.co/7HD7eykNuM #health #economy #Coronavirus https://t.co/N8AMy3A0Ad","To effectively prepare and respond to the threats of pandemics, epidemics and outbreaks, #business organizations should take a two-pronged approach to protect their organization and decrease #risk. @MarshGlobal shares how: https://t.co/7HD7eykNuM #health #economy #Coronavirus https://t.co/N8AMy3A0Ad",original
1.23E+18,48402711,unisyscorp,3/2/20 11:31,0,1,"Niranjan Navaratnarajah MBA, Cargo Industry Director- APAC at @unisyscorp  opted for an exclusive interaction with #CARGOCONNECT, as he talked about technology or digitally-driven solutions that can help restrict or overcome the impact of the Coronavirus epidemic on air cargo. https://t.co/ZaOC7PiIvl","RT @SurecomMedia09: Niranjan Navaratnarajah MBA, Cargo Industry Director- APAC at @unisyscorp  opted for an exclusive interaction with #CAR＃",retweet
1.23E+18,337847812,FTI_Global,3/2/20 12:00,0,0,Is the spread of the coronavirus threatening the global growth outlook? Read more. https://t.co/kJyMi44Ivo,Is the spread of the coronavirus threatening the global growth outlook? Read more. https://t.co/kJyMi44Ivo,original
1.23E+18,15749983,Cisco,3/2/20 14:15,0,218,"Due to the unprecedented and global increase in #remotework as a result of #COVID19, we are expanding the capabilities on our free #Webex offer in all countries where it is available (44 countries). https://t.co/lfhvFJuyzs","RT @CiscoCollab: Due to the unprecedented and global increase in #remotework as a result of #COVID19, we are expanding the capabilities on＃",retweet
1.23E+18,2904112697,MMC_Global,3/2/20 14:29,0,3,"#Webcast replay now available: Learn how to protect your people, operations and revenue from the impacts of the #coronavirus: https://t.co/Y0ydd99hV0 #COVID19 https://t.co/7pDsHS18b6","RT @MarshGlobal: #Webcast replay now available: Learn how to protect your people, operations and revenue from the impacts of the #coronavir＃",retweet
1.23E+18,2904112697,MMC_Global,3/2/20 14:30,0,1,How will the #coronavirus impact #business and why should businesses invest in #pandemic #resilience? https://t.co/RHQuurBKIS by Richard Smith-Bingham and Kavitha Hariharan of @MMC_Global via @BRINKNewsNow #health https://t.co/b99Mbbt0C5,RT @GuyCarpenter: How will the #coronavirus impact #business and why should businesses invest in #pandemic #resilience? https://t.co/RHQuur＃,retweet
1.23E+18,132703700,CharlesSchwab,3/2/20 15:08,3,0,"Read a Q&amp;A with Jeffrey Kleintop on COVID-19: The economy, markets and what investors should do: https://t.co/TG6HHOF1qH https://t.co/pnqihyvy5H","Read a Q&amp;A with Jeffrey Kleintop on COVID-19: The economy, markets and what investors should do: https://t.co/TG6HHOF1qH https://t.co/pnqihyvy5H",original
1.23E+18,12492842,citrix,3/2/20 15:19,11,11,".@Sydney_Uni recently turned to @citrixworkspace to connect 14,000 Chinese students and faculty members to allow them to participate in online classes from the safety of their own homes. https://t.co/JsKV4Ijkom #COVID19 https://t.co/tRdoBVQGUy",".@Sydney_Uni recently turned to @citrixworkspace to connect 14,000 Chinese students and faculty members to allow them to participate in online classes from the safety of their own homes. https://t.co/JsKV4Ijkom #COVID19 https://t.co/tRdoBVQGUy",original
1.23E+18,17981602,RaymondJames,3/2/20 16:00,0,5,"Will the U.S. see a major #COVID19 outbreak? Healthcare Policy Analyst Chris Meekins says we should know within a few weeks. Watch. 

More resources here: https://t.co/5fqW5HMdyx https://t.co/RKm6AsLt1T","Will the U.S. see a major #COVID19 outbreak? Healthcare Policy Analyst Chris Meekins says we should know within a few weeks. Watch. 

More resources here: https://t.co/5fqW5HMdyx https://t.co/RKm6AsLt1T",original
1.23E+18,86455649,CRiverLabs,3/2/20 16:20,5,4,"COVID-19, which emerged in #China in December, is the latest #coronavirus to infect humans. How much do you actually know about this virus? https://t.co/tQLxaO20L7 #EurekaBlog https://t.co/yt3OEz7cMS","COVID-19, which emerged in #China in December, is the latest #coronavirus to infect humans. How much do you actually know about this virus? https://t.co/tQLxaO20L7 #EurekaBlog https://t.co/yt3OEz7cMS",original
