state,screen_name,type
AR,clintonfdn,ngo
AZ,stmarysfoodbank,ngo
AZ,magellanhealth,business
CA,atvi_ab,business
CA,vmcfoundation,ngo
CA,edisonintl,business
CA,prologis,business
CA,hpe,business
CA,equinix,business
CA,servicenow,business
CA,square,business
CA,mercuryins,business
CA,chcfnews,ngo
CA,directrelief,ngo
CA,netflix,business
CA,firstrepublic,business
CA,granite,business
CA,molinahealth,business
CA,digitalrealty,business
CA,wearefarmers,business
CA,gavinnewsom,gov
CA,cloroxco,business
CA,intel,business
CA,qualcomm,business
CA,resmed,business
CA,netapp,business
CA,westerndigital,business
CA,nortonlifelock,business
CA,wellsfargo,business
CA,amgen,business
CA,facebook,business
CA,imc_worldwide,ngo
CA,nvidia,business
CA,cisco,business
CO,ballcorphq,business
CO,davita,business
CT,aetna,business
CT,pitneybowes,business
CT,gartner_inc,business
CT,utc,business
CT,cigna,business
CT,americares,ngo
DC,staysafeonline,ngo
DC,nokidhungry,ngo
DC,redcross,ngo
DE,chemours,business
FL,spiritairlines,business
GA,cdcfound,ngo
HI,hwnelectric,business
IA,collinsaero,business
ID,idahofoodbank,ngo
ID,albertsonscos,business
ID,boise_cascade,business
IL,cmegroup,business
IL,zebratechnology,business
IL,admupdates,business
IL,asspsafety,ngo
IL,feedingamerica,ngo
IL,exelon,business
IL,abbvie,business
IL,boeing,business
IL,nscsafety,ngo
IN,govholcomb,gov
IN,statehealthin,gov
IN,berryglobalinc,business
IN,cummins,business
IN,nisourceinc,business
IN,lillypad,business
IN,antheminc,business
KS,spiritaero,business
KY,humana,business
KY,govandybeshear,gov
KY,brownforman,business
LA,entergy,business
MA,thermofisher,business
MA,statestreet,business
MA,perkinelmer,business
MA,hologic,business
MA,generalelectric,business
MA,massgovernor,gov
MD,discoveryinctv,business
MD,underarmour,business
MD,lockheedmartin,business
MI,kelloggcompany,business
MI,gm,business
MI,ford,business
MI,unitedwaysem,ngo
MI,michiganhhs,gov
MI,govwhitmer,gov
MI,dte_energy,business
MN,xcelenergyctr,business
MN,unitedwaytc,ngo
MN,3m,business
MN,hormelfoods,business
MN,chsinc,business
MN,unitedhealthgrp,business
MN,2harvest,ngo
MN,securian,business
MN,govtimwalz,gov
MO,cerner,business
MO,stifel,business
MO,convoyofhope,ngo
MS,sanderson_corp,business
national,whostp,gov
national,whitehouse,gov
national,ftc,gov
national,deptofdefense,gov
national,who,gov
national,pennmedicine,gov
national,fema,gov
national,dhsgov,gov
national,energy,gov
national,cdcgov,gov
national,epa,gov
national,usarmy,gov
national,fdicgov,gov
national,cmsgov,gov
national,mayoclinic,gov
national,usda,gov
national,us_fda,gov
national,hhsgov,gov
national,vp,gov
national,sbagov,gov
NC,labcorp,business
NC,bankofamerica,business
NC,prahsciences,business
NC,dukeenergy,business
NC,hanesbrands,business
NC,inglesadvantage,business
NC,iqvia_global,business
NJ,honeywell,business
NJ,govmurphy,gov
NJ,amwater,business
NJ,prudential,business
NJ,questdx,business
NJ,merck,business
NJ,zoetis,business
NJ,psegnews,business
NJ,bdandco,business
NV,mgmresortsintl,business
NY,ibm,business
NY,bmsnews,business
NY,spglobal,business
NY,mmc_global,business
NY,pfizer,business
NY,pvhcorp,business
NY,univision,business
NY,atlasairww,business
NY,goldmansachs,business
NY,corning,business
NY,americanexpress,business
NY,warnermedia,business
NY,morganstanley,business
NY,nygovcuomo,gov
NY,henryschein,business
NY,nasdaq,business
NY,msc_industrial,business
NY,regeneron,business
NY,xyleminc,business
NY,travelers,business
NY,citi,business
NY,presidio,business
NY,chase,business
NY,moodysinvsvc,business
NY,coach,business
NY,glblctzn,ngo
NY,guardianlife,business
NY,sesamestreet,ngo
OH,goodyeartireco,business
OH,acrfoodbank,ngo
OH,aepnews,business
OH,medmutual,business
OH,firstenergycorp,business
OH,unitedwaygc,ngo
OH,teradata,business
OH,govmikedewine,gov
OH,commshelterbd,ngo
OH,fifththird,business
OH,m25m_org,ngo
OH,proctergamble,business
OH,nationwide,business
OH,uwco,ngo
OH,ohdeptofhealth,gov
OK,ogande,business
OK,rfbo,ngo
OK,devonenergy,business
OK,healthyoklahoma,gov
OR,oregonfoodbank,ngo
OR,portlandgeneral,business
OR,nike,business
PA,healthcare_abc,business
PA,pahealthdept,gov
PA,riteaid,business
PA,fmccorp,business
PA,uhs_inc,business
PA,governortomwolf,gov
PA,ugi_utilities,business
PA,comcast,business
PA,unisyscorp,business
RI,cvshealth,business
TN,brookdaleliving,business
TN,hcahealthcare,business
TN,envisionleads,business
TN,unumnews,business
TN,intlpaperco,business
TX,att,business
TX,sysco,business
TX,kccorp,business
TX,kbrincorporated,business
TX,marathonpetroco,business
TX,nblenergy,business
TX,exxonmobil,business
TX,comericabank,business
UN,unicefusa,ngo
UT,zionsbank,business
VA,projecthopeorg,ngo
VA,dominionenergy,business
VA,genworth,business
VA,dxctechnology,business
VA,unitedway,ngo
WA,wadepthealth,gov
WA,microsoft,business
WA,starbucks,business
WA,amazon,business
WA,itroninc,business
WI,manpowergroup,business
WI,amfam,business
WI,weareschneider,business
